[2025-05-30 23:02:22,975] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 23:02:23,046] 107 dagshub -INFO -Accessing as SamyakAnand
[2025-05-30 23:02:23,540] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/SamyakAnand/Health-App "HTTP/1.1 200 OK"
[2025-05-30 23:02:23,978] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 23:02:23,980] 107 dagshub -INFO -Initialized MLflow to track repo "SamyakAnand/Health-App"
[2025-05-30 23:02:23,981] 107 dagshub -INFO -Repository SamyakAnand/Health-App initialized!
[2025-05-30 23:02:23,981] 14 root -INFO -Initiate the data ingestion
[2025-05-30 23:02:31,635] 37 root -INFO -Dataframe shape after MongoDB fetch: (303, 8)
[2025-05-30 23:02:31,642] 62 root -INFO -Performed train-test split on the dataframe.
[2025-05-30 23:02:31,645] 70 root -INFO -Exported train and test datasets successfully.
[2025-05-30 23:02:31,645] 16 root -INFO -Data Initiation Completed
[2025-05-30 23:02:31,650] 20 root -INFO -Initiate the data validation
[2025-05-30 23:02:31,676] 41 root -INFO -Required number of columns:5
[2025-05-30 23:02:31,676] 42 root -INFO -Data frame has columns:8 
[2025-05-30 23:02:31,676] 41 root -INFO -Required number of columns:5
[2025-05-30 23:02:31,676] 42 root -INFO -Data frame has columns:8 
[2025-05-30 23:02:31,693] 22 root -INFO -Completed the data validation
[2025-05-30 23:02:31,693] 26 root -INFO -data transformation started
[2025-05-30 23:02:31,693] 70 root -INFO -Starting numerical data transformation process...
