[2025-05-29 17:31:26,994] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-29 17:31:27,007] 107 dagshub -INFO -Accessing as SamyakAnand
[2025-05-29 17:31:27,657] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/SamyakAnand/Health-App "HTTP/1.1 200 OK"
[2025-05-29 17:31:28,235] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-29 17:31:28,241] 107 dagshub -INFO -Initialized MLflow to track repo "SamyakAnand/Health-App"
[2025-05-29 17:31:28,244] 107 dagshub -INFO -Repository SamyakAnand/Health-App initialized!
[2025-05-29 17:31:28,244] 14 root -INFO -Initiate the data ingestion
[2025-05-29 17:31:36,339] 66 root -INFO -Performed train test split on the dataframe
[2025-05-29 17:31:36,340] 68 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-29 17:31:36,341] 76 root -INFO -Exporting train and test file path.
[2025-05-29 17:31:36,361] 85 root -INFO -Exported train and test file path.
[2025-05-29 17:31:36,362] 16 root -INFO -Data Initiation Completed
[2025-05-29 17:31:36,401] 20 root -INFO -Initiate the data validation
[2025-05-29 17:31:36,464] 41 root -INFO -Required number of columns:5
[2025-05-29 17:31:36,464] 42 root -INFO -Data frame has columns:9 
[2025-05-29 17:31:36,464] 41 root -INFO -Required number of columns:5
[2025-05-29 17:31:36,464] 42 root -INFO -Data frame has columns:9 
[2025-05-29 17:31:36,492] 22 root -INFO -Completed the data validation
[2025-05-29 17:31:36,493] 26 root -INFO -data transformation started
[2025-05-29 17:31:36,493] 52 root -INFO -Starting numerical data transformation process...
[2025-05-29 17:31:36,495] 57 root -INFO -Train Data Shape: (614, 9), Test Data Shape: (154, 9)
