[2025-05-30 13:32:09,951] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 13:32:10,051] 107 dagshub -INFO -Accessing as SamyakAnand
[2025-05-30 13:32:10,672] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/SamyakAnand/Health-App "HTTP/1.1 200 OK"
[2025-05-30 13:32:11,288] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 13:32:11,288] 107 dagshub -INFO -Initialized MLflow to track repo "SamyakAnand/Health-App"
[2025-05-30 13:32:11,292] 107 dagshub -INFO -Repository SamyakAnand/Health-App initialized!
[2025-05-30 13:32:11,292] 14 root -INFO -Initiate the data ingestion
[2025-05-30 13:32:17,364] 65 root -INFO -Performed train test split on the dataframe
[2025-05-30 13:32:17,364] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-30 13:32:17,364] 75 root -INFO -Exporting train and test file path.
[2025-05-30 13:32:17,364] 84 root -INFO -Exported train and test file path.
[2025-05-30 13:32:17,372] 16 root -INFO -Data Initiation Completed
[2025-05-30 13:32:17,382] 20 root -INFO -Initiate the data validation
[2025-05-30 13:32:17,421] 41 root -INFO -Required number of columns:5
[2025-05-30 13:32:17,421] 42 root -INFO -Data frame has columns:11 
[2025-05-30 13:32:17,421] 41 root -INFO -Required number of columns:5
[2025-05-30 13:32:17,421] 42 root -INFO -Data frame has columns:11 
[2025-05-30 13:32:17,462] 22 root -INFO -Completed the data validation
[2025-05-30 13:32:17,465] 26 root -INFO -data transformation started
[2025-05-30 13:32:17,465] 31 root -INFO -Starting liver data transformation process...
[2025-05-30 13:32:17,467] 35 root -INFO -Data shape: (466, 11)
[2025-05-30 13:32:17,467] 40 root -INFO -Converted Gender to numeric.
[2025-05-30 13:32:17,469] 53 root -INFO -Extracted feature set X: (466, 7) and target y: (466,)
[2025-05-30 13:32:17,470] 58 root -INFO -Saved transformed training data.
[2025-05-30 13:32:17,471] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-05-30 13:32:17,471] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-05-30 13:32:17,471] 62 root -INFO -Saved transform object at: healthapp/Liver\Artifacts\05_30_2025_13_32_02\data_transformation\transformed_object\liver_preprocessing.pkl
[2025-05-30 13:32:17,471] 30 root -INFO -data transformation completed
[2025-05-30 13:32:17,471] 32 root -INFO -Model Trainng started
