[2025-05-30 15:26:31,999] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 15:26:32,003] 107 dagshub -INFO -Accessing as SamyakAnand
[2025-05-30 15:26:32,605] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/SamyakAnand/Health-App "HTTP/1.1 200 OK"
[2025-05-30 15:26:33,343] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-30 15:26:33,345] 107 dagshub -INFO -Initialized MLflow to track repo "SamyakAnand/Health-App"
[2025-05-30 15:26:33,345] 107 dagshub -INFO -Repository SamyakAnand/Health-App initialized!
[2025-05-30 15:26:33,346] 14 root -INFO -Initiate the data ingestion
[2025-05-30 15:26:39,475] 38 root -INFO -Dataframe shape after MongoDB fetch: (569, 6)
[2025-05-30 15:26:39,484] 63 root -INFO -Performed train-test split on the dataframe.
[2025-05-30 15:26:39,487] 71 root -INFO -Exported train and test datasets successfully.
[2025-05-30 15:26:39,487] 16 root -INFO -Data Initiation Completed
[2025-05-30 15:26:39,493] 20 root -INFO -Initiate the data validation
[2025-05-30 15:26:39,515] 41 root -INFO -Required number of columns:5
[2025-05-30 15:26:39,515] 42 root -INFO -Data frame has columns:6 
[2025-05-30 15:26:39,515] 41 root -INFO -Required number of columns:5
[2025-05-30 15:26:39,515] 42 root -INFO -Data frame has columns:6 
[2025-05-30 15:26:39,529] 22 root -INFO -Completed the data validation
[2025-05-30 15:26:39,530] 26 root -INFO -data transformation started
[2025-05-30 15:26:39,530] 73 root -INFO -Starting breast cancer data transformation process...
